"","mpid","firstname","surname","party","PublicWhip.URL"
"468",41847,"David","Linden","SNP","https://www.publicwhip.org.uk/mp.php?mpid=41847"
"469",41848,"Colin","Clark","Con","https://www.publicwhip.org.uk/mp.php?mpid=41848"
"470",41849,"Nicholas","Boles","Con","https://www.publicwhip.org.uk/mp.php?mpid=41849"
"471",41850,"Meg","Hillier","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41850"
"472",41851,"James","Morris","Con","https://www.publicwhip.org.uk/mp.php?mpid=41851"
"473",41852,"Holly","Lynch","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41852"
"474",41853,"David","Davis","Con","https://www.publicwhip.org.uk/mp.php?mpid=41853"
"475",41854,"Andrew","Slaughter","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41854"
"476",41855,"Tulip","Siddiq","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41855"
"477",41856,"Neil","O&#39;Brien","Con","https://www.publicwhip.org.uk/mp.php?mpid=41856"
"478",41857,"Bob","Blackman","Con","https://www.publicwhip.org.uk/mp.php?mpid=41857"
"479",41858,"Amber","Rudd","Con","https://www.publicwhip.org.uk/mp.php?mpid=41858"
"480",41859,"William","Wragg","Con","https://www.publicwhip.org.uk/mp.php?mpid=41859"
"481",41860,"Jon","Trickett","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41860"
"482",41861,"Matthew","Offord","Con","https://www.publicwhip.org.uk/mp.php?mpid=41861"
"483",41862,"John","Howell","Con","https://www.publicwhip.org.uk/mp.php?mpid=41862"
"484",41863,"Jesse","Norman","Con","https://www.publicwhip.org.uk/mp.php?mpid=41863"
"485",41864,"Guy","Opperman","Con","https://www.publicwhip.org.uk/mp.php?mpid=41864"
"486",41865,"Keir","Starmer","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41865"
"487",41866,"Catherine","West","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41866"
"488",41867,"Jeremy","Quin","Con","https://www.publicwhip.org.uk/mp.php?mpid=41867"
"489",41868,"Peter","Kyle","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41868"
"490",41869,"Barry","Sheerman","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41869"
"491",41870,"Wes","Streeting","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41870"
"492",41871,"Mike","Gapes","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41871"
"493",41872,"John","Grogan","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41872"
"494",41873,"Edward","Davey","LDem","https://www.publicwhip.org.uk/mp.php?mpid=41873"
"495",41874,"Chris","Skidmore","Con","https://www.publicwhip.org.uk/mp.php?mpid=41874"
"496",41875,"Cat","Smith","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41875"
"497",41876,"Richard","Burgon","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41876"
"498",41877,"Fabian","Hamilton","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41877"
"499",41878,"Alex","Sobel","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41878"
"500",41879,"Keith","Vaz","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41879"
"501",41880,"Ellie","Reeves","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41880"
"502",41881,"Vicky","Foxcroft","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41881"
"503",41882,"Karen","Lee","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41882"
"504",41883,"Martyn","Day","SNP","https://www.publicwhip.org.uk/mp.php?mpid=41883"
"505",41884,"Nicky","Morgan","Con","https://www.publicwhip.org.uk/mp.php?mpid=41884"
