"","mpid","firstname","surname","party","PublicWhip.URL"
"292",41667,"Lesley","Laird","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41667"
"293",41668,"Desmond","Swayne","Con","https://www.publicwhip.org.uk/mp.php?mpid=41668"
"294",41669,"Shailesh","Vara","Con","https://www.publicwhip.org.uk/mp.php?mpid=41669"
"295",41670,"Clive","Lewis","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41670"
"296",41672,"Jeremy","Lefroy","Con","https://www.publicwhip.org.uk/mp.php?mpid=41672"
"297",41673,"Therese","Coffey","Con","https://www.publicwhip.org.uk/mp.php?mpid=41673"
"298",41674,"Thomas","Tugendhat","Con","https://www.publicwhip.org.uk/mp.php?mpid=41674"
"299",41675,"John","Healey","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41675"
"300",41676,"Judith","Cummins","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41676"
"301",41677,"Paul","Masterton","Con","https://www.publicwhip.org.uk/mp.php?mpid=41677"
"302",41678,"Dominic","Raab","Con","https://www.publicwhip.org.uk/mp.php?mpid=41678"
"303",41679,"Carol","Monaghan","SNP","https://www.publicwhip.org.uk/mp.php?mpid=41679"
"304",41680,"Rachel","Reeves","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41680"
"305",41681,"Liz","Kendall","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41681"
"306",41682,"Heidi","Alexander","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41682"
"307",41683,"Jeff","Smith","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41683"
"308",41684,"Gerald","Jones","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41684"
"309",41685,"Crispin","Blunt","Con","https://www.publicwhip.org.uk/mp.php?mpid=41685"
"310",41686,"Gordon","Henderson","Con","https://www.publicwhip.org.uk/mp.php?mpid=41686"
"311",41687,"David","Lammy","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41687"
"312",41688,"Margaret","Hodge","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41688"
"313",41689,"Emma","Little Pengelly","DUP","https://www.publicwhip.org.uk/mp.php?mpid=41689"
"314",41690,"Damian","Hinds","Con","https://www.publicwhip.org.uk/mp.php?mpid=41690"
"315",41691,"Tommy","Sheppard","SNP","https://www.publicwhip.org.uk/mp.php?mpid=41691"
"316",41692,"Stewart","McDonald","SNP","https://www.publicwhip.org.uk/mp.php?mpid=41692"
"317",41693,"Richard","Graham","Con","https://www.publicwhip.org.uk/mp.php?mpid=41693"
"318",41694,"Hannah","Bardell","SNP","https://www.publicwhip.org.uk/mp.php?mpid=41694"
"319",41696,"Ranil","Jayawardena","Con","https://www.publicwhip.org.uk/mp.php?mpid=41696"
"320",41697,"James","Gray","Con","https://www.publicwhip.org.uk/mp.php?mpid=41697"
"321",41698,"Anna","Turley","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41698"
"322",41699,"Nigel","Adams","Con","https://www.publicwhip.org.uk/mp.php?mpid=41699"
"323",41700,"Heather","Wheeler","Con","https://www.publicwhip.org.uk/mp.php?mpid=41700"
"324",41701,"Lucy","Allan","Con","https://www.publicwhip.org.uk/mp.php?mpid=41701"
"325",41702,"Steve","McCabe","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41702"
"326",41703,"Rosie","Duffield","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41703"
"327",41704,"Stephen","Doughty","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41704"
"328",41705,"Stephen","Timms","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41705"
"329",41706,"Chris","Stephens","SNP","https://www.publicwhip.org.uk/mp.php?mpid=41706"
"330",41707,"Diane","Abbott","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41707"
"331",41708,"Victoria","Atkins","Con","https://www.publicwhip.org.uk/mp.php?mpid=41708"
"332",41709,"Theresa","May","Con","https://www.publicwhip.org.uk/mp.php?mpid=41709"
"333",41710,"Simon","Clarke","Con","https://www.publicwhip.org.uk/mp.php?mpid=41710"
"334",41711,"Paul","Beresford","Con","https://www.publicwhip.org.uk/mp.php?mpid=41711"
"335",41712,"Norman","Lamb","LDem","https://www.publicwhip.org.uk/mp.php?mpid=41712"
"336",41713,"Debbie","Abrahams","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41713"
"337",41714,"Stephen","Morgan","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41714"
"338",41715,"Andrew","Murrison","Con","https://www.publicwhip.org.uk/mp.php?mpid=41715"
"339",41716,"Jonathan","Lord","Con","https://www.publicwhip.org.uk/mp.php?mpid=41716"
"340",41717,"Nick","Gibb","Con","https://www.publicwhip.org.uk/mp.php?mpid=41717"
"341",41718,"Chris","Green","Con","https://www.publicwhip.org.uk/mp.php?mpid=41718"
"342",41719,"Helen","Jones","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41719"
"343",41720,"Liam","Byrne","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41720"
"344",41721,"Tobias","Ellwood","Con","https://www.publicwhip.org.uk/mp.php?mpid=41721"
"345",41722,"Alex","Burghart","Con","https://www.publicwhip.org.uk/mp.php?mpid=41722"
"346",41723,"Hugh","Gaffney","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41723"
"347",41724,"Gareth","Thomas","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41724"
"348",41725,"Bim","Afolami","Con","https://www.publicwhip.org.uk/mp.php?mpid=41725"
"349",41726,"Hilary","Benn","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41726"
"350",41727,"Michael","Fabricant","Con","https://www.publicwhip.org.uk/mp.php?mpid=41727"
"351",41728,"Afzal","Khan","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41728"
"352",41729,"Angela","Smith","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41729"
"353",41730,"Caroline","Nokes","Con","https://www.publicwhip.org.uk/mp.php?mpid=41730"
"354",41731,"Paul","Scully","Con","https://www.publicwhip.org.uk/mp.php?mpid=41731"
"355",41732,"Adam","Afriyie","Con","https://www.publicwhip.org.uk/mp.php?mpid=41732"
"356",41733,"Ross","Thomson","Con","https://www.publicwhip.org.uk/mp.php?mpid=41733"
"357",41734,"Graham","Brady","Con","https://www.publicwhip.org.uk/mp.php?mpid=41734"
"358",41735,"Brendan","O&#39;Hara","SNP","https://www.publicwhip.org.uk/mp.php?mpid=41735"
"359",41736,"Nick","Herbert","Con","https://www.publicwhip.org.uk/mp.php?mpid=41736"
"360",41737,"Gloria","De Piero","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41737"
"361",41738,"Angela","Rayner","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41738"
"362",41739,"David","Lidington","Con","https://www.publicwhip.org.uk/mp.php?mpid=41739"
"363",41740,"Victoria","Prentis","Con","https://www.publicwhip.org.uk/mp.php?mpid=41740"
"364",41741,"David","Duguid","Con","https://www.publicwhip.org.uk/mp.php?mpid=41741"
"365",41742,"John","Woodcock","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41742"
