"","voteno8","voteno7","voteno6","voteno1","voteno420","voteno416","voteno413","voteno401","voteno400","voteno399","voteno398","voteno397","voteno395","voteno394","voteno393","voteno392","voteno391","voteno390","voteno389","voteno388","voteno387","voteno386","voteno384","voteno383","voteno382","voteno380","voteno379","voteno370","voteno369","voteno367","voteno366","voteno364","voteno363","voteno362","voteno361","voteno360","voteno359","voteno358","voteno357","voteno356","voteno355","voteno353","voteno352","voteno351","voteno350","voteno349","voteno348","voteno347","voteno346","voteno345","voteno344","voteno343","voteno342","voteno341","voteno340","voteno339","voteno337","voteno336","voteno335","voteno334","voteno329","voteno323","voteno316","voteno315","voteno314","voteno305","voteno303","voteno301","voteno300","voteno299","voteno288","voteno287","voteno286","voteno284","voteno283","voteno276","voteno263","voteno262","voteno238","voteno237","voteno236","voteno235","voteno231","voteno224","voteno223","voteno222","voteno221","voteno220","voteno219","voteno218","voteno217","voteno216","voteno205","voteno158","voteno90","voteno89","voteno7"
"mpid41504",1,1,1,1,3,1,3,2,3,3,3,3,1,3,1,3,3,3,3,2,3,1,1,1,2,1,1,2,2,1,3,3,3,3,3,2,3,1,3,1,1,1,1,2,2,2,1,3,3,3,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,2,3,3,3,1,1,1,2,3,3,3,3,2,1,1,3,3,3,2,3,3,2,3,2,3,1,3,3
"mpid41505",1,1,1,2,3,2,3,1,3,3,3,2,1,3,1,3,3,2,2,1,2,1,2,2,2,1,1,1,1,1,2,3,3,3,3,3,3,1,3,1,2,1,1,1,1,1,1,3,3,2,1,2,1,1,2,1,2,2,2,2,1,1,1,1,1,2,1,1,1,1,3,3,3,2,2,1,3,3,2,3,3,1,1,1,3,3,3,3,2,3,3,3,2,3,1,3,3
"mpid41506",3,3,3,3,1,3,2,3,1,1,1,1,3,2,3,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,2,1,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,2,1,1,3,1,1,3,3,3,1,1,1,1,1,1,1,1,1,2,3,1,1
"mpid41507",1,1,1,1,3,1,3,2,3,3,3,3,1,2,1,3,2,3,3,1,3,1,1,1,2,1,1,2,2,1,2,3,3,3,3,2,3,1,3,1,1,1,1,2,2,2,1,3,3,3,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,2,1,1,1,1,3,3,3,1,1,1,2,3,2,3,3,2,1,1,3,3,3,2,3,3,2,3,2,3,1,3,3
"mpid41508",3,3,3,3,1,3,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,3,1,3,3,3,3,3,3,3,3,2,1,1,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,2,1,1,1,3,3,2,1,1,3,1,1,3,3,3,1,1,1,1,1,1,1,1,2,1,3,1,1
"mpid41509",3,3,3,2,1,3,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,2,1,1,3,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,3,1,1
"mpid41510",2,2,2,1,3,2,3,2,3,3,3,3,1,3,1,3,2,3,3,1,2,1,1,1,2,1,1,2,2,2,2,3,3,3,3,2,3,1,3,2,2,1,1,2,2,2,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,2,2,1,2,3,2,3,3,2,2,1,3,3,3,2,3,3,2,3,2,3,1,3,3
"mpid41511",1,1,1,1,3,2,3,2,2,3,3,3,1,3,1,3,2,3,3,1,2,1,1,1,2,1,1,2,2,1,2,3,3,3,2,2,3,1,3,1,1,1,1,2,2,2,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,2,2,1,2,3,2,3,3,2,1,1,3,3,3,2,3,3,2,3,2,3,1,3,3
"mpid41512",3,3,3,3,1,3,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,3,1,3,3,3,3,3,3,3,3,2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,2,1,1,3,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,3,1,1
"mpid41513",3,3,3,3,1,3,3,3,1,3,2,2,3,3,3,2,1,1,1,3,1,2,3,3,3,3,3,3,3,3,2,3,1,1,1,1,1,3,1,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,2,1,1,3,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,3,1,1
"mpid41514",1,1,1,2,3,2,3,1,3,3,3,2,1,3,1,3,3,2,2,1,2,1,2,2,2,1,1,1,1,1,2,3,3,3,3,3,3,1,3,1,2,2,2,2,2,2,2,3,3,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,3,3,3,2,2,1,3,3,2,3,3,1,1,1,3,3,3,3,2,3,3,3,2,2,1,3,3
"mpid41515",3,3,3,3,1,2,3,3,1,1,1,1,3,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,1,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,2,1,1,3,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,3,1,1
"mpid41517",1,1,1,2,3,3,3,2,3,3,2,3,1,3,1,3,3,1,1,1,1,1,1,1,2,1,1,2,2,1,1,3,3,3,2,3,3,1,3,2,2,1,1,2,2,2,1,3,3,3,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,2,3,3,3,1,1,1,2,3,2,2,2,2,2,1,3,3,3,2,3,3,2,3,2,3,1,3,3
"mpid41519",2,2,2,1,3,3,3,2,3,3,1,1,1,2,1,3,3,1,1,1,1,1,2,2,1,1,2,2,2,1,1,3,3,3,3,3,3,1,3,1,1,1,1,2,2,2,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,1,1,1,2,3,2,2,2,2,1,1,3,3,3,2,3,3,2,3,2,3,2,2,2
"mpid41520",3,3,3,3,1,3,3,2,1,1,1,1,3,3,3,1,1,1,1,3,1,3,3,3,3,2,2,3,3,3,1,1,1,1,1,1,1,3,1,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,2,1,1,3,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,3,1,1
"mpid41521",3,3,3,3,1,3,1,3,1,1,1,1,1,1,3,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,3,1,3,3,3,3,3,3,3,3,2,1,1,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,2,2,2,3,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,3,1,2
"mpid41522",3,3,3,3,1,3,1,3,1,1,1,1,3,1,3,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,3,1,3,3,3,3,3,3,3,3,2,1,1,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,1,1,1,3,3,2,1,1,3,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,3,1,1
"mpid41523",3,3,3,3,1,3,2,3,1,1,1,1,3,3,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,3,3,2,2,2,2,2,2,3,1,1,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,2,1,1,3,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,3,1,1
"mpid41524",3,3,3,3,1,2,3,3,1,1,2,3,3,3,3,1,1,1,3,2,2,3,3,3,3,3,3,3,3,3,2,3,1,1,1,1,1,3,1,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,2,1,1,3,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,3,1,1
"mpid41525",1,1,1,1,3,1,3,2,2,3,3,3,1,3,1,3,2,3,3,2,3,1,1,1,2,1,1,2,2,1,3,3,3,3,3,2,3,1,3,1,1,1,1,2,2,2,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,2,3,3,3,3,2,1,1,3,3,3,2,3,3,2,3,2,3,1,3,3
"mpid41526",3,3,3,3,3,2,3,3,3,3,3,1,1,3,1,3,3,1,3,3,1,1,3,3,3,3,3,3,3,3,1,2,2,3,3,2,3,1,3,3,3,3,3,3,3,3,3,3,2,1,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,2,1,1,2,2,2,2,2,2,3,2,1,1,1,1,1,1,1,1,3,1,1
"mpid41527",3,3,3,3,1,3,2,2,1,1,1,1,3,2,3,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,3,1,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,2,1,1,3,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,3,1,1
"mpid41528",1,1,1,1,3,2,3,2,2,3,3,3,1,3,1,3,3,3,3,1,3,1,2,2,2,1,1,2,2,1,3,3,3,3,3,2,3,1,3,2,2,1,1,2,2,2,1,3,3,3,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,3,3,3,3,2,1,2,2,2,2,2,2,2,2,2,2,3,1,3,3
"mpid41529",1,1,1,1,2,1,3,2,3,3,1,1,1,3,1,3,3,2,2,1,1,1,1,1,2,1,1,2,2,1,3,3,3,3,3,3,3,1,3,1,1,1,1,2,2,2,1,3,3,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,2,3,2,3,3,2,1,1,3,3,3,2,3,3,2,3,2,3,1,3,3
"mpid41530",1,1,1,2,3,2,3,2,2,3,3,3,1,3,2,3,2,3,3,2,3,2,1,1,2,1,1,2,2,2,3,3,3,3,3,2,3,1,3,2,2,1,1,2,2,2,1,3,3,3,1,1,2,2,1,2,2,1,1,1,1,1,2,2,2,1,2,2,2,2,3,3,3,1,1,1,2,3,2,3,3,2,1,1,3,3,3,2,3,3,2,3,2,2,1,3,3
"mpid41531",1,1,1,1,3,1,3,2,2,3,3,3,1,3,1,3,2,3,3,2,3,1,1,1,2,1,1,2,2,2,3,3,3,3,3,2,3,1,3,1,1,2,2,2,2,2,2,3,3,3,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,2,3,2,3,3,2,1,1,3,3,3,2,3,3,2,3,2,3,1,3,3
"mpid41532",1,1,1,1,3,2,3,2,2,1,2,3,1,3,1,1,2,3,3,1,1,1,1,1,2,1,1,2,2,1,3,3,3,3,3,1,3,1,3,1,1,1,1,2,2,2,1,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,2,2,1,2,2,2,2,2,2,1,1,3,3,3,2,3,3,2,3,2,3,2,2,3
"mpid41533",2,2,2,2,3,1,3,2,2,3,3,3,1,3,1,3,3,3,3,1,3,1,1,1,2,1,1,2,2,1,3,3,3,3,3,2,3,1,3,1,1,1,1,2,2,2,1,3,3,3,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,2,3,3,3,3,2,1,1,3,3,3,2,3,3,2,3,2,3,2,2,3
"mpid41534",1,1,1,2,3,2,3,2,3,3,1,1,1,3,2,3,3,1,1,1,1,1,2,2,1,1,2,2,2,1,1,3,3,3,3,3,3,1,3,1,1,1,1,2,2,2,1,2,3,2,2,2,2,2,2,2,1,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,2,1,1,3,1,1,3,3,3,3,3,1,1,1,1,1,1,1,1,3,1,1
"mpid41535",1,1,1,1,3,1,3,2,3,3,2,3,1,3,1,3,3,3,3,1,2,1,1,1,2,1,2,1,1,1,3,3,3,3,3,3,3,1,3,1,1,1,1,2,2,2,1,3,3,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,2,3,2,2,3,2,2,1,3,3,3,2,3,3,2,3,2,3,1,3,3
"mpid41536",1,1,1,1,3,1,3,2,3,3,3,3,1,3,1,3,3,3,3,1,2,1,1,1,2,1,1,2,2,1,2,3,3,3,3,2,3,1,3,2,2,1,1,2,2,2,1,3,3,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,2,3,3,3,3,2,1,1,3,3,3,2,3,3,2,3,2,3,1,3,3
"mpid41537",1,1,1,1,3,1,3,2,3,3,3,3,1,3,1,3,3,3,3,2,3,1,1,1,2,1,1,2,2,1,3,3,3,3,3,3,3,1,3,1,1,1,1,2,2,2,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,2,2,1,2,3,2,3,3,2,1,1,3,3,3,2,3,3,2,3,2,3,1,3,3
"mpid41538",2,2,2,2,1,3,1,3,1,1,1,1,3,1,3,1,1,1,1,3,1,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,3,1,3,3,3,3,3,3,3,3,2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,2,1,1,3,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,3,1,1
"mpid41539",1,1,1,1,3,1,3,2,3,3,2,3,1,3,1,3,3,3,3,1,1,1,1,1,2,1,1,2,2,1,3,3,3,3,3,2,3,1,3,1,1,1,1,2,2,2,1,3,3,3,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,2,3,3,3,3,2,1,1,3,3,3,2,3,3,2,3,2,3,1,3,3
"mpid41540",3,3,3,2,1,2,3,2,1,1,3,3,1,3,1,1,2,3,3,1,3,1,1,1,3,1,1,3,3,1,1,3,3,3,3,1,3,1,3,2,2,1,1,2,2,2,1,3,2,3,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,3,3,2,2,1,2,2,2,2,2,2,1,1,3,3,3,2,3,3,2,3,2,3,2,2,3
"mpid41541",3,3,3,3,1,3,3,3,1,1,1,1,3,1,3,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,3,1,3,3,3,3,3,3,3,3,2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,2,1,1,3,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,3,1,1
"mpid41542",1,1,1,1,3,1,3,2,2,3,3,3,1,3,1,3,1,3,1,1,3,1,1,1,2,1,1,2,2,1,3,3,3,3,3,2,3,1,3,1,1,1,1,2,2,2,1,3,3,3,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,2,3,3,3,3,2,1,1,3,3,3,2,3,3,2,3,2,3,1,3,3
"mpid41543",3,3,3,3,1,2,2,3,1,1,1,1,3,2,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,2,1,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,2,1,1,3,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,3,1,1
"mpid41545",3,3,3,3,1,2,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,3,2,2,2,3,3,3,3,3,1,1,1,1,1,1,1,3,1,2,2,3,3,3,3,3,3,2,1,1,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,1,1,1,3,3,2,1,1,3,1,1,2,3,3,1,1,1,1,1,1,1,2,1,1,3,1,1
"mpid41546",3,3,3,3,1,3,2,3,1,1,1,1,3,2,3,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,3,1,3,3,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,2,3,3,3,3,1,1,1,2,2,2,1,1,3,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,3,1,1
"mpid41547",1,1,1,1,3,1,3,2,3,3,3,3,1,3,1,3,3,3,3,1,2,1,1,1,2,1,1,2,2,1,2,3,3,3,3,2,3,1,3,1,1,1,1,2,2,2,1,3,3,3,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,2,3,2,3,3,2,1,1,3,3,3,2,3,3,2,3,2,3,1,3,3
"mpid41548",3,3,3,3,2,3,2,3,1,1,2,1,3,2,3,1,1,1,1,3,1,2,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,3,1,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,2,1,1,2,2,2,2,3,3,1,1,1,1,1,1,1,1,1,1,3,1,1
"mpid41549",1,1,1,1,3,3,3,2,3,3,3,3,1,3,1,3,3,3,3,1,2,1,1,1,2,1,1,2,2,1,2,3,3,3,3,3,3,1,3,1,1,2,1,2,2,2,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,2,3,3,3,3,2,1,1,3,3,3,2,3,3,2,3,2,3,1,3,3
"mpid41550",1,1,1,1,3,1,3,2,2,3,3,3,1,3,1,2,2,3,3,3,3,1,2,2,2,1,1,2,2,1,2,3,3,3,3,2,3,1,3,1,1,1,1,2,2,2,1,3,3,3,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,3,3,3,2,2,1,2,3,2,3,3,2,1,1,3,3,3,2,3,3,2,3,2,3,1,3,3
"mpid41551",1,1,1,1,3,1,3,2,2,3,3,3,1,3,1,3,2,3,3,2,2,1,1,1,2,1,1,2,2,1,3,3,3,3,3,2,3,1,3,1,1,1,1,2,2,2,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,3,3,1,1,1,2,3,3,3,3,2,1,1,3,3,3,2,3,3,2,3,2,3,2,2,3
"mpid41552",1,1,1,2,3,1,3,2,3,3,3,3,1,3,1,3,2,3,3,1,3,1,1,1,2,1,1,2,2,1,3,3,3,3,3,2,3,1,3,1,1,1,1,2,2,2,1,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,2,3,2,3,3,2,1,1,3,3,3,2,3,3,2,3,2,3,1,3,3
"mpid41553",1,1,1,2,3,1,2,2,3,3,3,3,1,3,1,3,3,3,3,1,3,1,1,1,2,1,1,2,2,2,3,3,3,3,3,2,3,1,3,1,1,1,1,2,2,2,1,3,3,3,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,2,3,3,3,3,2,1,1,3,3,3,2,3,3,2,3,2,3,1,3,3
"mpid41554",1,1,1,1,3,1,3,2,2,3,3,3,1,3,1,3,2,3,3,2,3,1,1,1,2,1,1,2,2,1,3,3,3,3,3,2,3,1,3,1,1,1,1,2,2,2,1,3,3,3,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3
"mpid41555",1,1,1,1,3,3,3,2,3,3,1,1,1,3,1,3,3,2,2,2,2,1,2,2,2,1,1,2,2,1,1,3,3,3,3,3,3,1,3,1,2,1,1,1,1,1,2,3,3,3,2,1,1,1,1,1,2,2,2,2,2,1,1,2,1,1,1,2,2,2,3,3,3,2,2,1,2,2,1,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3
"mpid41556",1,1,1,1,2,1,3,2,3,3,3,3,1,3,1,3,3,3,3,1,3,1,1,1,2,1,1,2,2,1,3,3,3,3,3,2,3,1,3,1,1,1,1,2,2,2,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,2,3,2,3,3,2,1,1,3,3,3,2,3,3,2,3,2,3,1,3,3
"mpid41557",1,1,1,2,3,2,3,2,3,3,3,3,1,3,1,3,3,3,3,1,2,1,2,2,2,1,1,2,2,2,3,3,3,3,3,2,3,1,3,1,1,1,1,2,2,2,1,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,2,2,2,2,3,3,3,1,1,1,2,3,3,3,3,2,2,1,3,3,3,2,3,3,2,3,2,3,1,3,3
"mpid41558",1,1,1,1,3,1,3,2,3,3,3,3,1,3,1,3,3,3,3,2,3,1,1,1,2,1,1,2,2,1,3,3,3,3,3,2,3,1,3,1,1,1,1,2,2,2,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,2,2,2,3,3,2,1,1,3,3,3,2,3,3,2,3,2,3,1,3,3
"mpid41559",3,3,3,3,1,3,3,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,3,1,1,1,1,1,2,1,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,2,2,2,2,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,3,1,1
"mpid41560",3,3,3,3,1,3,3,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,3,1,1,1,1,2,1,1,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,3,3,2,1,1,2,2,2,2,3,3,1,1,1,1,1,1,1,1,1,1,3,1,1
"mpid41561",3,3,3,3,1,3,3,3,1,1,1,1,3,3,2,1,1,1,1,2,1,2,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,2,1,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,1,1,1,3,3,2,1,1,3,1,1,3,3,3,1,1,1,1,1,1,1,1,1,2,3,1,1
"mpid41562",1,1,1,2,1,1,3,2,1,1,1,3,3,3,1,1,1,3,2,1,1,1,1,1,2,1,1,2,2,1,2,3,3,1,3,1,3,1,3,1,1,1,1,2,2,2,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,1,1,2,3,2,3,3,2,1,2,3,3,3,2,3,3,2,3,2,3,1,3,3
"mpid41563",1,1,1,1,3,2,3,1,3,3,3,2,1,3,1,3,3,2,2,2,3,1,1,1,1,1,1,2,2,2,1,3,3,3,3,3,3,1,3,1,1,1,1,1,1,1,1,3,3,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,3,3,3,2,2,1,3,3,2,3,3,1,1,1,3,3,3,3,2,3,3,3,3,3,1,3,2
"mpid41564",1,1,1,2,3,1,3,2,3,3,1,3,1,3,1,3,3,3,3,1,1,1,1,1,2,1,1,2,2,1,3,3,3,3,3,3,3,1,3,1,1,2,1,2,2,2,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,2,3,3,3,3,2,1,1,3,3,3,2,3,3,2,3,2,3,1,3,3
"mpid41565",3,3,3,3,1,3,3,3,2,2,2,3,3,3,1,2,2,1,3,2,2,1,3,3,3,3,3,3,3,3,2,3,1,1,1,1,2,1,1,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,2,2,2,3,3,2,2,2,3,2,2,2,2,1,1,1,3,3,2,1,1,3,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,3,1,1
"mpid41566",1,1,1,2,3,2,3,2,2,3,2,3,1,3,1,3,2,3,3,1,2,1,1,1,2,1,1,2,2,2,3,3,3,3,3,2,3,1,3,1,1,1,1,2,2,2,1,3,3,3,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,1,1,2,2,2,2,2,1,2,3,3,3,3,2,1,1,3,3,3,2,3,3,2,3,2,3,1,3,2
"mpid41567",1,1,1,1,3,1,3,2,3,3,3,3,1,3,1,3,3,3,3,1,3,1,1,1,2,1,1,2,2,1,3,3,3,3,3,2,3,1,3,1,1,1,1,2,2,2,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,2,3,3,3,3,2,1,1,3,3,3,2,3,3,2,3,2,3,1,3,3
"mpid41568",1,1,1,1,3,1,2,2,3,3,1,1,1,3,1,3,3,1,1,1,1,1,1,1,2,2,1,2,2,1,1,3,3,3,3,3,3,1,3,1,1,1,1,2,2,2,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,2,3,2,2,3,2,1,1,3,3,3,2,2,3,2,3,2,3,1,3,3
"mpid41569",3,3,3,3,1,2,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,3,3,3,3,3,3,2,2,2,1,1,1,1,1,1,1,2,1,3,3,3,3,3,3,3,3,2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,2,1,1,3,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,3,1,1
"mpid41570",3,3,3,2,1,3,3,3,1,1,3,3,3,3,1,1,1,1,3,1,3,1,3,3,3,3,3,3,3,3,1,3,1,3,3,1,3,2,2,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,1,3,1,2,2,2,2,2,3,1,1,3,3,3,1,1,1,1,1,1,1,1,2,2,3,1,1
"mpid41571",3,3,3,3,1,3,1,2,1,1,1,1,1,1,3,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,2,1,1,1,1,1,1,3,1,3,3,3,3,3,3,3,3,2,1,1,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,1,1,1,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1,3,1,2
"mpid41572",3,3,3,3,1,2,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,3,2,2,2,2,2,3,3,3,1,1,1,1,1,1,1,3,1,3,3,3,3,3,3,3,3,2,1,1,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,3,3,3,3,3,1,1,1,3,3,2,2,2,2,2,2,2,3,3,1,1,1,1,1,1,1,1,1,1,3,1,1
"mpid41573",1,1,1,1,3,1,3,2,2,3,3,3,1,3,1,3,3,3,3,1,3,1,1,1,2,1,1,2,2,1,2,3,3,3,3,2,3,1,3,1,1,1,1,2,2,2,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,2,2,1,2,3,3,3,3,2,1,1,3,3,3,2,3,3,2,3,2,3,1,3,2
