"country","countrycode","year","aid","oil","gdp.capita","institutions","polity2","population","mortality"
"Chile","CHL",2002,3.790838997,"0.0385725575839389",5033.48962,1.24597173929214,9,"15623635",8.4
"Chile","CHL",2003,5.821653463,"0.0387453280736094",5173.029848,1.15444957216581,9,"15799542",8.2
"Chile","CHL",2004,7.49870817,"0.0410649484359065",5426.909357,1.19564637541771,9,"15973778",8
"Chile","CHL",2005,5.675327268,"0.0365334700604582",5599.888972,1.24825548132261,9,"16147064",7.9
"Chile","CHL",2006,4.718693696,"0.0213512343384014",5858.764042,1.13916608691216,10,"16319792",7.9
"Chile","CHL",2007,7.241556506,"0.014887674451979",6100.163658,1.13073500990868,10,"16491687",7.8
"Chile","CHL",2008,8.434069335,"0.0213394853640392",6240.105973,1.12720451752345,10,"16661942",7.8
"Chile","CHL",2009,7.459222391,"0.0139146913687928",6117.105649,1.12449917197227,10,"16829442",7.7
"Chile","CHL",2010,6.978370585,"0.0344350102492647",6430.056688,1.17743866642316,10,"16993354",7.7
"China","CHN",1996,4.693460662,"1.79689291029354",716.2451166,-0.422262215365966,-7,"1217550000",32.8
"China","CHN",1998,4.291591697,"0.689143851745227",827.348598,-0.498057375351588,-7,"1241935000",30
"China","CHN",2000,3.20401361,"2.00497425496221",949.1780621,-0.472167607396841,-7,"1262645000",27.3
"China","CHN",2002,3.391597337,"1.24944973652753",1105.952557,-0.598265228172143,-7,"1280400000",24.6
"China","CHN",2003,2.868854517,"1.31141920158143",1208.993961,-0.584340987106164,-7,"1288400000",23.4
"China","CHN",2004,2.844026841,"1.58581419729884",1323.219929,-0.528558903063337,-7,"1296075000",22.2
"China","CHN",2005,5.193324989,"2.16648026144344",1464.107627,-0.564118675887585,-7,"1303720000",21
"China","CHN",2006,4.57369268,"2.15386371725844",1640.861518,-0.574181137606502,-7,"1311020000",19.9
"China","CHN",2007,4.580688968,"1.71082508502422",1864.102702,-0.541016312936942,-7,"1317885000",18.9
"China","CHN",2008,3.873382134,"1.90911754741239",2032.61498,-0.487269505858421,-7,"1324655000",17.8
"China","CHN",2009,2.288292127,"0.810047753278887",2208.403948,-0.520366748174032,-7,"1331260000",16.8
"China","CHN",2010,3.120813164,"1.18483714779914",2426.332466,-0.578858132163684,-7,"1337705000",15.8
"Colombia","COL",1996,3.202627642,"2.76900208334259",2599.008309,-0.637179398288329,7,"38049038",25.7
"Colombia","COL",1998,2.873546017,"1.15556144363764",2610.185487,-0.613335644205411,7,"39234062",24.2
"Colombia","COL",2000,2.427628409,"4.54442720637317",2523.975779,-0.612810013194879,7,"40403958",22.7
"Colombia","COL",2002,2.172164947,"2.96285588869371",2546.440671,-0.651303599278132,7,"41572491",21.4
"Colombia","COL",2003,1.812637236,"3.47113281393392",2604.769247,-0.686318316186468,7,"42152151",20.6
"Colombia","COL",2004,2.573327196,"3.7297922301979",2701.343455,-0.59336735556523,7,"42724163",20
"Colombia","COL",2005,6.996756922,"4.55189096233028",2785.449373,-0.528125400965412,7,"43285634",19.4
"Colombia","COL",2006,4.089945992,"4.85680182708014",2927.388878,-0.422968739022811,7,"43835722",18.8
"Colombia","COL",2007,4.358290438,"3.87421990814261",3083.126278,-0.399880481728663,7,"44374572",18.2
"Colombia","COL",2008,4.342707074,"5.04694670556947",3146.126014,-0.400203830872973,7,"44901544",17.6
"Colombia","COL",2009,3.022104553,"2.81864223962139",3152.674797,-0.416981015664836,7,"45416181",17.1
"Colombia","COL",2010,2.389233073,"4.04881062162004",3233.434885,-0.325718646248182,7,"45918097",18.1
"Comoros","COM",1996,0.22126452,"..",365.5867871,-0.864993542432785,4,"488627",79.9
"Comoros","COM",1998,0.178378838,"..",365.936343,-0.934677988290787,4,"515385",77.2
"Comoros","COM",2000,0.046377283,"..",358.954574,-1.01250207920869,-1,"542357",74.7
"Comoros","COM",2002,0.171372099,"..",366.3016217,-0.705133631825447,4,"569479",72.6
"Comoros","COM",2003,0.244631886,"..",365.4465105,-0.936932275692622,4,"583211",71.4
"Comoros","COM",2004,0.185241835,"..",354.8973492,-0.906527707508455,6,"597228",70.1
"Comoros","COM",2005,0.144338785,"..",360.0724579,-0.961032420396805,6,"611627",69
"Comoros","COM",2006,0.142935573,"..",354.8404016,-0.861277704437574,9,"626425",68.5
"Comoros","COM",2007,1.617940955,"..",347.1016433,-1.04440346856912,9,"641620",66.8
"Comoros","COM",2008,1.418709619,"..",341.2175743,-1.0738830268383,9,"657229",65.6
"Comoros","COM",2009,1.697928095,"..",338.2994711,-1.03612656394641,9,"673252",64
"Comoros","COM",2010,1.735688042,"..",336.4831995,-0.985119705398877,9,"689692",62.8
"Cuba","CUB",1996,0.077026698,"0.447527590194189",2410.957384,-0.650689696272214,-7,"10961012",7.9
"Cuba","CUB",1998,0.05898215,"0.176865891152218",2463.462212,-0.643811747431755,-7,"11064097",7.3
"Cuba","CUB",2000,-0.03353487,"1.03023504925458",2752.552094,-0.572585428754489,-7,"11150736",6.6
"Cuba","CUB",2002,0.007889159,"0.957888357610237",2862.38565,-0.630794202287992,-7,"11217998",6
"Cuba","CUB",2003,-0.020221996,"1.09973261064922",2962.269179,-0.707252497474352,-7,"11244885",5.7
"Cuba","CUB",2004,0.009187808,"1.24033831038554",3125.704815,-0.706723605593046,-7,"11266941",5.5
"Cuba","CUB",2005,0.036581763,"1.54228863770271",3469.885203,-0.696890865763028,-7,"11284253",5.3
"Cuba","CUB",2006,0.04910688,"1.44653038165631",3884.798515,-0.62077126900355,-7,"11296233",5.2
"Cuba","CUB",2007,0.108714457,"1.32707256357945",4165.600383,-0.607618749141693,-7,"11303687",5
"Cuba","CUB",2008,0.039829041,"1.82481125050987",4337.776952,-0.582104799648126,-7,"11309754",4.9
"Cuba","CUB",2009,NA,"0.76422793727721",4402.307554,-0.547734489043554,-7,"11318602",4.7
"Cuba","CUB",2010,NA,"1.2288058225756",4495.054646,-0.533396258950233,-7,"11333051",4.6
"Cyprus","CYP",1996,2.500878688,"0",11895.83673,1.08685087164243,10,"873423",7.5
"Cyprus","CYP",1998,3.615417511,"0",12455.57131,0.977900579571724,10,"908704",6.4
"Cyprus","CYP",2000,9.177455893,"0",13421.65542,1.00388549268246,10,"943286",5.4
"Cyprus","CYP",2002,10.45194141,"0",13926.5451,1.00775382419427,10,"976966",4.6
"Cyprus","CYP",2003,6.818157335,"0",13952.06534,0.98316748936971,10,"993563",4.3
"Cyprus","CYP",2004,7.073678862,"0",14206.95908,0.927848135431608,10,"1010410",4.1
"Cyprus","CYP",2005,6.836022402,"0",14411.32418,0.943818648656209,10,"1027658",3.9
"Cyprus","CYP",2006,10.14831492,"0",14719.25766,1.04973495999972,10,"1045509",3.8
"Cyprus","CYP",2007,10.50945111,"0",15248.86529,1.08010724186897,10,"1063712",3.6
"Cyprus","CYP",2008,5.304998239,"0",15620.66611,1.17164043585459,10,"1081563",3.5
"Cyprus","CYP",2009,15.07912735,"0",15227.17046,1.06519170105457,10,"1098076",3.3
"Cyprus","CYP",2010,3.542919403,"0",15328.33481,1.10032761096954,10,"1112607",3.2
"Djibouti","DJI",1996,0.660629851,"..",839.0920436,-0.759243001540502,-6,"643682",87.6
"Djibouti","DJI",1998,0.617093466,"..",779.8060611,-0.960624118645986,-6,"680612",85.3
"Djibouti","DJI",2000,0.596129446,"..",753.1196451,-0.760196939110756,2,"717584",83.1
"Djibouti","DJI",2002,0.580649337,"..",754.2943932,-0.65817004442215,2,"746221",81.1
"Djibouti","DJI",2003,2.286739804,"..",764.0967613,-0.785674969355265,2,"758615",80
"Djibouti","DJI",2004,5.786694826,"..",779.2439036,-0.578388844927152,2,"770752",78.8
"Djibouti","DJI",2005,3.132332723,"..",789.3938915,-0.817138642072678,2,"783254",77.9
"Djibouti","DJI",2006,14.08394014,"..",811.9017619,-0.708950459957123,2,"796208",76.8
"Djibouti","DJI",2007,23.03889364,"..",837.2779296,-0.660478701194127,2,"809402",75.7
"Djibouti","DJI",2008,23.17013807,"..",869.0854807,-0.531071518858274,2,"822934",75.4
"Djibouti","DJI",2009,9.233046734,"..",895.3183396,-0.515542084972064,2,"836840",74.1
"Djibouti","DJI",2010,NA,"..",NA,-0.59619469443957,2,"851146",73
"Dominican Republic","DOM",1996,0.532213739,"0",2286.158872,-0.226650323718786,8,"8029113",38.2
"Dominican Republic","DOM",1998,3.305428177,"0",2556.581423,-0.415335676943262,8,"8296375",35.4
"Dominican Republic","DOM",2000,3.970969843,"0",2792.917696,-0.262113554335277,8,"8562622",32.9
"Dominican Republic","DOM",2002,3.450455794,"0",2916.783354,-0.234584330270688,8,"8832285",30.4
"Dominican Republic","DOM",2003,2.882215688,"0",2865.84728,-0.425676285017592,8,"8967760",29.4
"Dominican Republic","DOM",2004,4.12464452,"0",2860.651967,-0.402481440454721,8,"9102998",28.2
"Dominican Republic","DOM",2005,3.301667109,"0",3080.315496,-0.408225032190482,8,"9237566",27.1
"Dominican Republic","DOM",2006,3.016729225,"0",3360.408656,-0.307579713563124,8,"9371338",26.2
"Dominican Republic","DOM",2007,4.035854882,"0",3594.073251,-0.333994882802169,8,"9504353",25.2
"Dominican Republic","DOM",2008,6.265640834,"0",3730.909852,-0.328611759468913,8,"9636520",24.1
"Dominican Republic","DOM",2009,4.628084519,"0",3807.809787,-0.35295374194781,8,"9767758",23.2
"Dominican Republic","DOM",2010,3.152228392,"0",4049.039107,-0.397774984439214,8,"9897985",22.3
"Ecuador","ECU",1996,2.348318861,"6.57125041465221",1344.586764,-0.52102880179882,9,"11683479",31.7
"Ecuador","ECU",1998,3.739251784,"2.06583119882445",1383.787635,-0.431945985804002,9,"12163885",29.1
"Ecuador","ECU",2000,-0.147032332,"14.2089472072279",1291.341613,-0.68411127726237,6,"12628596",26.7
"Ecuador","ECU",2002,3.168806171,"6.91133982201089",1382.484605,-0.697883918881416,6,"13072060",24.6
"Ecuador","ECU",2003,3.06768747,"7.86685787839947",1403.492992,-0.698224276304245,6,"13289601",23.7
"Ecuador","ECU",2004,2.563711587,"11.8737186054061",1501.796897,-0.674218436082204,6,"13509647",22.6
"Ecuador","ECU",2005,1.335630737,"16.2731259891192",1562.326863,-0.74781696498394,6,"13735233",21.7
"Ecuador","ECU",2006,0.650830342,"17.0651486442283",1610.967343,-0.840506166219711,7,"13967480",20.7
"Ecuador","ECU",2007,0.426688624,"15.2013123124518",1618.868002,-0.816258544723193,5,"14205453",19.9
"Ecuador","ECU",2008,1.855241475,"17.1088367806702",1710.53306,-0.815833548704783,5,"14447562",19.1
"Ecuador","ECU",2009,0.61300554,"7.66610270319159",1692.067197,-0.843050842483838,5,"14691275",18.2
"Ecuador","ECU",2010,0.288550805,"10.2428418950085",1728.052156,-0.796392480532328,5,"14934690",17.6
"Egypt, Arab Rep.","EGY",1996,0.940414985,"7.23134750497845",1289.080933,-0.251076409903665,-6,"64933456",48.1
"Egypt, Arab Rep.","EGY",1998,1.268437026,"2.74465759052057",1367.342647,-0.289503860132148,-6,"67378056",42.3
"Egypt, Arab Rep.","EGY",2000,1.236997243,"5.89351077481128",1475.84441,-0.308958620531484,-6,"69905988",37
"Egypt, Arab Rep.","EGY",2002,0.736363106,"5.35923418472799",1507.929351,-0.451498619591196,-6,"72590118",32.4
"Egypt, Arab Rep.","EGY",2003,0.286287341,"6.97370193430111",1527.274258,-0.525493245571852,-6,"73981942",30.3
"Egypt, Arab Rep.","EGY",2004,1.589570738,"9.20526881458493",1560.38394,-0.492666569848855,-6,"75381899",28.4
"Egypt, Arab Rep.","EGY",2005,5.993818979,"11.7321743665156",1600.321838,-0.507795176158349,-3,"76778149",26.5
"Egypt, Arab Rep.","EGY",2006,9.343527188,"11.6408410907144",1678.954796,-0.664617605507374,-3,"78159048",24.7
"Egypt, Arab Rep.","EGY",2007,8.873615645,"10.580118524004",1765.869427,-0.568500826756159,-3,"79537253",22.9
"Egypt, Arab Rep.","EGY",2008,5.831412619,"12.1514196062491",1858.858447,-0.509682498251398,-3,"80953881",21.5
