country,country.code,country.abbr,ti.cpi,gdp,region
Poland,616,POL,4,10560,Europe
Portugal,620,PRT,6.3,18280,Europe
Guinea-Bissau,624,GNB,2.2,710,Africa
Qatar,634,QAT,5.6,19844,Asia
Romania,642,ROU,2.6,6560,Europe
Russian Federation,643,RUS,2.7,8230,Europe
Rwanda,646,RWA,3.1,1270,Africa
St Lucia,662,LCA,6.8,5300,Americas
St Vincent and the Grenadines,670,VCT,6.1,5460,Americas
Sao Tome and Principe,678,STP,2.7,1317,Africa
Saudi Arabia,682,SAU,4.5,12650,Asia
Senegal,686,SEN,3.1,1580,Africa
Seychelles,690,SYC,4.4,18232,Africa
Sierra Leone,694,SLE,2.2,520,Africa
Singapore,702,SGP,9.3,24040,Asia
Slovakia,703,SVK,3.7,12840,Europe
Vietnam,704,VNM,2.4,2300,Asia
Slovenia,705,SVN,6,18540,Europe
South Africa,710,ZAF,4.8,10070,Africa
Zimbabwe,716,ZWE,2.7,2400,Africa
Spain,724,ESP,7.1,21460,Europe
Sudan,736,SDN,2.3,1820,Africa
Suriname,740,SUR,4.3,6590,Americas
Swaziland,748,SWZ,2.7,4550,Africa
Sweden,752,SWE,9.3,26050,Europe
Switzerland,756,CHE,8.5,30010,Europe
Syria,760,SYR,3.4,3620,Asia
Tajikistan,762,TJK,1.8,980,Asia
Thailand,764,THA,3.2,7010,Asia
Togo,768,TGO,2.4,1480,Africa
Tonga,776,TON,1.7,6850,Asia
Trinidad and Tobago,780,TTO,4.9,9430,Americas
United Arab Emirates,784,ARE,5.2,22420,Asia
Tunisia,788,TUN,4.8,6760,Africa
Turkey,792,TUR,3.2,6390,Europe
Turkmenistan,795,TKM,2,4300,Asia
Uganda,800,UGA,2.1,1390,Africa
Ukraine,804,UKR,2.4,4870,Europe
Macedonia,807,MKD,2.3,6470,Europe
Egypt,818,EGY,3.4,3810,Africa
United Kingdom,826,GBR,8.7,26150,Europe
Tanzania,834,TZA,2.7,580,Africa
United States,840,USA,7.7,35750,Americas
Burkina Faso,854,BFA,3,1100,Africa
Uruguay,858,URY,5.1,7830,Americas
Uzbekistan,860,UZB,2.9,1670,Asia
Venezuela,862,VEN,2.5,5380,Americas
Samoa,882,WSM,4.5,5600,Asia
Yemen,887,YEM,2.6,870,Asia
Zambia,894,ZMB,2.6,840,Africa
