"child_mortality","life_expectancy","radio_television_per_cap","log_population","civil_war","year","country_name","international_war","urban_population_pct","oil_production_per_cap","inequality_gini","gdp_per_cap","inflation","region_name","education15","government_effectiveness","political_stability","polity","healthcare","womens_civ_lib","media_censorship","internet_access"
3.5,81.2,0.542369209493023,17.9481566289494,0,2009,"France",0,59.0122700194003,0,29.8999996185303,21244.2109375,0.100000001490116,"Western Europe/North America",11.6180000305176,1.49319779872894,0.474764138460159,9,3.70968432269979,0.965393336614501,2.56578887943503,0
3.5,81.4,0.683992491010697,17.9528600104552,0,2010,"France",0,54.9905361812274,2902.00026230489,30.2999992370605,21477.48046875,1.60000002384186,"Western Europe/North America",11.6800003051758,1.4474401473999,0.670789420604706,9,4.43489156488318,0.965393336614501,2.56578887943503,0
59.1,60.1,0.0473066844182099,13.8338444601528,0,1993,"Gabon",0,41,2629.716,45.2117632697609,4666.33984375,0.533746540546417,"Sub-Saharan Africa",4.32130432128906,-0.731174525130098,0.539160406478869,-4,-0.51095980404061,0.749314816803377,0.0882547244798272,0
58.6,59.9,0.0468822078451855,13.8635423393961,0,1994,"Gabon",0,42,2552.3858,44.0999984741211,4710.75,36.1162452697754,"Sub-Saharan Africa",4.56383848190308,-0.19522513218585,0.283045223094967,-4,0.0853467877197571,0.749314816803377,0.0882547244798272,0
58.2,59.8,0.0474069478333742,13.8923836322685,0,1995,"Gabon",0,43,2836.4945,44.0999984741211,4815.419921875,9.6465311050415,"Sub-Saharan Africa",4.79118728637695,-0.301574170835957,0.237134630939412,-4,-0.823961296566992,0.749314816803377,0.0882547244798272,0
57.8,59.6,0.0542055418393202,13.9204163702602,0,1996,"Gabon",0,44,3334.4619,44.0999984741211,4858.2998046875,0.68969339132309,"Sub-Saharan Africa",4.96080684661865,-0.336609065532684,-0.0253483802080154,-4,0.0133040598768301,0.749314816803377,0.0882547244798272,0
57.3,59.9,0.0571344958017431,13.9476846548796,0,1997,"Gabon",0,45,2930.6522,44.0999984741211,5002.0400390625,3.97345018386841,"Sub-Saharan Africa",5.15779590606689,-0.390335312571466,0.208380642789887,-4,0.715344801096947,0.749314816803377,0.36679243307585,1
56.8,60,0.0564970546276135,13.9742290750344,0,1998,"Gabon",0,46,1864.852,44.0999984741211,5042.47021484375,1.44873857498169,"Sub-Saharan Africa",5.29466199874878,-0.593511343002319,0.176161885261536,-4,0.391982925141931,0.749314816803377,0.36679243307585,1
56.3,59.7,0.0575559008870807,14.0000870704336,0,1999,"Gabon",0,47.0351402345225,2341.9369,44.0999984741211,4052.19995117188,-1.93660402297974,"Sub-Saharan Africa",5.41092491149902,-0.62864248495754,0.294640741278005,-4,-0.0692684622306817,0.749314816803377,0.36679243307585,1
55.6,59.3,0.020962917901538,14.0252932491765,0,2000,"Gabon",0,19.9725766246175,3368.2129,44.0999984741211,3844.13989257812,0.50492000579834,"Sub-Saharan Africa",5.52175951004028,-0.631027162075043,0.501017153263092,-4,-0.356185074412494,0.749314816803377,0.36679243307585,1
54.7,59,0.21162070489192,14.0477954000757,0,2001,"Gabon",0,55.7562496954772,2527.8469,44.0999984741211,3819.8701171875,2.13762044906616,"Sub-Saharan Africa",5.62716579437256,-0.539799345731658,0.357173217194716,-4,0.123953239544065,0.749314816803377,0.36679243307585,1
53.7,59.4,0.100810666569671,14.0693563352318,0,2002,"Gabon",0,47.7406751843326,2427.4907,44.0999984741211,3728.02001953125,0.0366828888654709,"Sub-Saharan Africa",5.72714376449585,-0.39414393901825,0.31184321641922,-4,0.136678522935838,0.749314816803377,0.864465458907768,1
52.6,59.4,0.140220416571856,14.0901051112295,0,2003,"Gabon",0,45.9961198401406,2167.7965,44.0999984741211,3732.48999023438,2.23535323143005,"Sub-Saharan Africa",5.73355197906494,-0.476527571678162,0.250925689935684,-4,-0.821316785161614,0.749314816803377,0.864465458907768,1
51.4,59.4,0.224942555512198,14.1101915805237,0,2004,"Gabon",0,34.6232941347858,2683.742,44.0999984741211,3685.84008789062,0.408205300569534,"Sub-Saharan Africa",6.37679958343506,-0.802664756774902,0.382899016141891,-4,0.00637382037821482,0.749314816803377,0.864465458907768,1
50.2,60.1,0.159310621139148,14.1297583656651,0,2005,"Gabon",0,38.0472392946654,4920.1066,42.1800003051758,3711.42993164062,3.70833325386047,"Sub-Saharan Africa",6.42706537246704,-0.839241206645966,0.313978433609009,-4,0.952209956030131,0.749314816803377,0.864465458907768,1
49,60.9,0.0397479503404612,14.1488428701783,0,2006,"Gabon",0,37.6922149882709,5613.1091,44.0999984741211,3675.01000976562,-1.40940141677856,"Sub-Saharan Africa",6.47733163833618,-0.848142087459564,0.181107193231583,-4,0.191942978667796,0.749314816803377,0.864465458907768,1
47.4,61.6,0.219983034031754,14.1674933107718,0,2007,"Gabon",0,22.5327280732028,4032.89227326615,44.0999984741211,3801.02001953125,5.03031873703003,"Sub-Saharan Africa",6.52759742736816,-0.836108326911926,0.273182660341263,-4,-0.309975586814105,0.749314816803377,0.864465458907768,1
45.7,61.7,0.18063696510976,14.1858015809315,0,2008,"Gabon",0,45.0165522464264,1193.07357404216,44.0999984741211,3811.330078125,5.26430130004883,"Sub-Saharan Africa",6.57786321640015,-0.832887530326843,0.241782873868942,-4,-0.366943177749633,0.749314816803377,0.864465458907768,1
44.2,62.1,0.0344971144089948,14.2038891867045,0,2009,"Gabon",0,48.3727659779238,520.580850280383,44.0999984741211,3927.07044344957,1.88570749759674,"Sub-Saharan Africa",6.62812900543213,-0.754398167133331,0.124812476336956,3,0.896280173229755,0.749314816803377,0.859371152137988,1
