"district","CDU","SPD","AfD","Die.Linke","Grune","FDP","unemploymentrate","migrantfraction","catholicfraction"
"Rotenburg I – Heidekreis",36.0901599689104,41.1921926923473,8.19037648607707,4.13920546923949,4.79986041384124,4.48737776297319,5.5,12.8,6.8
"Harburg",40.6349681020734,27.4222488038278,9.23606957735247,5.38152910685805,9.07471092503987,6.51540071770335,4.06,11.7,6.4
"Lüchow-Dannenberg – Lüneburg",33.4772986097682,28.0546065307233,8.68805374703654,8.37433836853678,14.7811512924644,6.62455145147081,6.12,12.1,6.8
"Osnabrück-Land",45.5645510578044,28.2758620689655,6.600033316675,5.26936531734133,7.73813093453273,6.39946693320007,3.56,19.4,37
"Stadt Osnabrück",40.2727632010825,31.6477657130226,12.0879869712815,8.37849243403645,10.1180946766966,8.94116701387261,6.13,22.6,42
"Nienburg II – Schaumburg",40.6448064893105,32.7297724616759,9.13659173712793,4.49027290850347,7.70193166976009,4.49439747026878,5.99,15.3,9.4
"Stadt Hannover I",29.5984528779917,35.6400242862176,8.51816594082858,7.18017525054532,9.07135200773561,6.54678469968293,8.81,24.1,13.7
"Stadt Hannover II",28.9328582653697,33.6961822960414,7.17411331183786,9.33156311810768,11.1652261088682,5.53214837293738,9.13,24.1,13.6
"Hannover-Land I",40.1340485551187,33.0667910530641,9.55998311898892,4.97434530552409,5.95555407476511,5.17813909064659,5.52,24.1,12.3
"Celle – Uelzen",42.6968388838436,29.967779256808,10.0736474130102,4.9145963698792,5.76365649453243,5.49121082816018,6.5,13.4,7.5
"Gifhorn – Peine",36.0068340940046,37.8384190781142,9.86881406963129,5.27252742001004,5.6040765609692,4.81254032354417,4.86,17.3,9.8
"Hameln-Pyrmont – Holzminden",33.350427967785,39.090613601069,9.49257828018347,5.93665354472895,5.42381451117772,5.80302647260645,6.88,15.8,11.4
"Hannover-Land II",35.2398188107043,37.0013814077509,9.40695843997302,5.41961599006243,5.72695244316417,5.40248225051669,6.14,24.1,11.9
"Hildesheim",36.0157273918742,37.202430596926,8.59823662575956,5.06493506493507,7.5604670558799,5.55820326462528,6.41,15.3,23.7
"Salzgitter – Wolfenbüttel",29.1450110636546,42.8292080481655,11.9371687335975,5.97630319559512,4.29681469665003,4.67246436474039,6.94,18.2,13.4
"Braunschweig",31.365482719477,37.9863779969091,7.77794493756582,7.62271427985284,8.04327311022061,5.38383686420395,6.14,21.4,14
"Helmstedt – Wolfsburg",34.9078273160964,38.0219683137994,10.2015725307733,5.98386241828141,4.48789681371106,5.73576182342894,5.03,21.8,14
"Goslar – Northeim – Osterode",39.7595047917966,34.7913271499373,9.3367938890342,5.69985715147979,5.43964482358543,4.97287219416668,6.72,12.4,11.1
"Göttingen",33.2633546029249,34.9079533291149,7.01955659110935,5.85751541996109,11.3128995440541,4.57306075139415,5.65,15.8,20.6
"Bremen I",24.3111269908295,29.8172388778814,7.83285152824244,12.2492177434198,11.9893678067583,11.0425396000476,8.56,26.5,11.2
"Bremen II – Bremerhaven",24.710437988335,34.1414933421371,11.4077803455486,11.5797292835919,7.69230769230769,6.89446461978651,12.87,26.4,10.6
