"pair","date","year","village","district","vilno","disno","treat","poverty","pop2000","lpop2000","pret","pret.1","diff","groznyy","elevation","lelev","tariq","nn","lnn","reb","garrison","vildays","deaths","deathsd","wounded","woundedd","fail","swept","prop","propd","lprop","history","historyd","lhistory","change","decrease","increase","abandon","iso"
17,"9/2/2000",2000,"Trekhgor'ye","Shalinskiy",131,10,0,2,569,6.34388113021851,0,0,0,0,548,6.30627489089966,0,3.7039999961853,1.30941295623779,1,0,90,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,3,5
18,"9/4/2000",2000,"Kurchaloi","Kurchaloevskiy",72,6,0,2,12613,9.44248294830322,3,3,3,0,202,5.30826807022095,0,3.24399995803833,1.17680704593658,1,1,10,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,1,0,1,0,2
18,"9/4/2000",2000,"Starye Atagi","Groznenskiy",122,3,1,2,11205,9.32411575317383,1,1,1,0,273,5.60947179794312,0,3.66899991035461,1.29991900920868,0,1,36,0,0,0,0,1,1,10,1,2.39789509773254,0,0,0,1,0,1,0,2
19,"9/6/2000",2000,"Grozny (Leninskiy)","Groznyy",74,2,1,1,18038,9.80023574829102,21,21,-6,1,130,4.86753511428833,0,4.68400001525879,1.54415202140808,0,1,3,5,1,7,1,1,1,11,1,2.48490691184998,0,0,0,-1,1,0,0,4
19,"9/6/2000",2000,"Staropomyslovskiy (Groznyy)","Groznyy",121,2,0,1,20864,9.94578075408936,16,16,-3,1,130,4.86753511428833,0,4.68400001525879,1.54415202140808,0,1,3,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,-1,1,0,0,4
20,"9/6/2000",2000,"Avtury","Shalinskiy",12,10,0,2,10724,9.28023910522461,3,3,-1,0,247,5.5093879699707,0,5.23600006103516,1.65555799007416,1,1,1,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,-1,1,0,0,1
20,"9/6/2000",2000,"Starye Atagi","Groznenskiy",122,3,1,2,11205,9.32411575317383,1,1,1,0,273,5.60947179794312,0,3.66899991035461,1.29991900920868,0,1,34,1,0,0,0,1,1,34,1,3.55534791946411,1,1,0.6931471824646,1,0,1,0,2
21,"9/8/2000",2000,"Michurina","Groznenskiy",85,3,1,2,419,6.03787088394165,3,3,-1,0,109,4.6913480758667,0,1.24399995803833,0.21833199262619,0,0,60,13,1,12,1,1,0,8,1,2.19722509384155,1,1,0.6931471824646,-1,1,0,0,4
21,"9/8/2000",2000,"Tashi","Kurchaloevskiy",126,6,0,2,587,6.37502479553223,0,0,0,0,674,6.51322984695435,0,3.14840006828308,1.1468939781189,1,0,90,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,6
22,"9/9/2000",2000,"Novogroznenskoi","Gudermesskiy",93,4,0,2,9426,9.15122699737549,1,1,-1,0,56,4.02535200119019,0,1.4099999666214,0.343589693307877,1,1,90,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,-1,1,0,0,2
22,"9/9/2000",2000,"Tsotan-Yurt","Shalinskiy",134,10,1,2,9064,9.1120662689209,3,3,-2,0,139,4.93447399139404,0,3.76999998092651,1.32707500457764,1,0,70,8,1,5,1,1,1,3,1,1.38629400730133,1,1,0.6931471824646,-1,1,0,0,1
23,"9/11/2000",2000,"Gekhi (Blagodatnoye)","Urus-Martanovskiy",43,14,0,2,10717,9.27958679199219,5,5,-3,0,222,5.4026780128479,0,5.46600008010864,1.69854700565338,0,0,71,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,-1,1,0,0,0
