IMMBRIT,over.estimate,RSex,RAge,Househld,paper,WWWhourspW,religious,employMonths,urban,health.good,HHInc,party_self
15,1,1,65,2,1,0,1,72,3,0,6,2
35,1,2,44,4,1,2,1,48,1,3,17,1
20,1,1,44,1,0,10,0,192,3,2,13,7
5,0,1,34,3,1,0,0,72,2,1,12,7
20,1,1,38,4,0,4,1,12,3,2,17,7
20,1,1,53,1,1,0,1,96,3,2,9,7
10,0,2,61,2,1,2,1,84,3,2,14,1
20,1,1,42,4,1,2,1,72,3,3,17,1
5,0,1,55,1,1,10,0,72,2,0,7,2
5,0,1,44,2,0,6,0,60,4,2,17,4
20,1,2,45,3,1,5,0,48,1,3,13,1
30,1,2,77,1,0,0,1,72,4,0,5,2
1,0,2,51,2,0,2,0,18,2,2,17,7
10,0,1,34,3,0,5,0,108,2,3,11,7
20,1,2,43,4,0,0,0,168,2,3,13,2
80,1,2,27,3,1,0,1,72,2,2,2,7
60,1,2,78,1,0,0,1,72,3,2,9,1
20,1,1,64,2,1,1,1,12,4,3,16,1
5,0,1,53,4,0,5,1,192,3,3,17,2
15,1,2,32,3,0,7,0,22,4,3,17,2
8,0,2,69,1,1,8,1,72,1,2,9,1
4,0,2,36,5,0,5,1,72,3,3,17,7
40,1,2,56,6,0,0,1,72,3,1,1,7
30,1,1,18,5,1,15,1,4,3,2,17,2
10,0,1,63,2,1,0,0,72,3,1,5,2
6,0,1,49,4,1,1,1,60,1,2,17,1
40,1,2,42,7,1,0,1,72,3,2,9,7
35,1,1,88,2,1,0,1,72,2,3,6,7
5,0,1,58,1,0,2,1,96,2,3,17,1
10,0,1,32,2,0,10,0,108,1,3,13,1
20,1,1,59,2,1,0,0,72,2,2,10,7
30,1,2,73,1,0,0,1,72,2,2,9,2
50,1,2,25,2,1,5,0,72,2,2,1,2
5,0,1,35,4,0,5,0,48,4,3,13,7
5,0,2,30,3,1,14,1,48,4,3,5,2
17,1,2,64,2,1,3,1,72,4,3,15,4
30,1,1,32,1,0,1,0,72,2,2,2,6
40,1,1,63,2,1,0,0,72,2,2,4,6
10,0,1,60,3,1,0,0,156,3,2,9,2
10,0,2,48,2,1,10,0,48,1,3,17,7
55,1,2,61,2,0,0,1,72,4,2,2,7
50,1,1,68,2,0,0,1,72,3,3,4,1
30,1,1,53,2,1,12,0,72,2,1,13,3
50,1,2,43,3,0,0,0,72,4,0,2,2
5,0,1,49,5,0,0,1,72,2,2,9,1
6,0,2,30,1,0,3,0,84,4,2,8,7
3,0,1,55,3,1,1,1,216,3,1,13,1
25,1,1,59,1,0,2,0,60,2,3,8,2
20,1,2,23,3,0,10,1,72,4,2,8,2
5,0,1,54,2,1,1,0,456,2,2,12,2
50,1,2,78,1,0,0,0,72,4,2,4,2
3,0,2,45,4,0,5,1,24,1,2,17,7
65,1,2,44,2,0,20,1,72,1,2,2,1
30,1,2,61,2,0,0,1,72,2,1,7,2
20,1,2,34,2,0,3,0,108,2,3,15,7
4,0,1,55,3,1,2,0,360,1,2,16,1
30,1,2,41,2,0,3,1,228,3,3,17,1
20,1,1,57,2,0,5,0,288,1,3,11,4
5,0,2,54,4,0,5,1,72,4,1,5,2
6,0,1,30,3,0,4,0,72,2,3,17,1
2,0,1,58,2,0,5,0,72,1,2,4,5
20,1,2,51,2,1,8,1,17,4,2,9,1
22,1,1,61,2,0,15,0,168,2,1,9,7
15,1,1,46,2,0,0,0,72,1,1,9,7
15,1,1,84,1,0,2,0,72,3,2,11,7
30,1,2,24,2,0,1,1,4,3,2,16,7
10,0,1,51,2,1,20,0,132,2,2,11,2
10,0,2,38,4,0,20,0,18,2,0,12,7
10,0,1,86,2,1,0,1,72,4,2,6,1
5,0,2,37,5,0,7,0,72,3,1,9,2
50,1,2,65,3,1,14,0,72,4,3,8,7
30,1,1,45,1,0,0,1,12,3,2,5,6
50,1,2,69,1,0,0,0,72,3,3,4,7
60,1,2,24,2,0,2,0,72,4,2,3,7
20,1,1,61,1,0,6,1,72,2,2,7,5
6,0,1,22,3,1,4,0,72,1,1,8,1
5,0,1,43,2,0,7,0,36,3,3,17,7
40,1,1,27,1,0,4,1,36,4,3,11,2
40,1,2,18,2,0,10,0,72,2,1,17,7
50,1,2,22,3,1,2,0,72,3,1,4,7
40,1,2,75,1,1,5,1,72,4,1,3,1
20,1,1,27,1,1,5,1,12,1,2,11,1
30,1,2,58,2,0,25,0,72,2,3,7,7
15,1,1,60,1,0,3,0,180,4,3,12,7
10,0,2,46,5,0,4,1,36,2,2,17,1
45,1,2,65,1,0,2,0,72,1,1,4,1
50,1,1,29,5,0,0,1,48,3,3,8,7
30,1,2,76,1,0,0,1,72,3,3,3,2
10,0,2,37,4,0,14,0,72,4,2,11,7
7,0,1,45,4,0,2,0,36,2,3,17,2
35,1,1,64,2,1,0,1,72,3,2,5,2
15,1,1,47,4,0,4,1,120,3,3,15,7
50,1,2,28,5,0,10,0,72,3,1,5,2
40,1,1,55,2,0,0,0,300,4,3,9,2
25,1,2,25,4,0,10,0,11,2,2,14,1
35,1,2,36,4,0,15,0,72,1,3,17,1
100,1,2,71,1,1,0,1,72,3,0,2,2
10,0,1,58,1,0,6,1,36,2,3,9,7
3,0,1,64,2,1,1,0,72,3,3,13,7
7,0,2,32,4,0,4,0,96,2,3,17,2
3,0,1,83,2,1,2,0,72,1,3,17,1
10,0,2,49,1,0,3,1,72,1,0,2,2
10,0,2,43,4,0,3,0,72,2,2,14,7
30,1,2,41,2,1,1,0,60,2,3,8,4
5,0,1,55,4,0,2,1,228,1,2,13,7
25,1,2,64,2,1,6,1,72,2,3,14,1
20,1,1,35,3,0,30,0,72,3,2,12,7
20,1,1,42,1,1,0,0,12,2,2,6,2
8,0,1,58,2,1,3,0,228,2,2,17,1
10,0,1,62,2,1,7,1,72,2,2,9,5
35,1,2,26,2,1,2,1,48,4,3,17,7
20,1,1,42,1,1,10,0,144,4,2,9,5
30,1,1,47,1,1,1,1,72,3,0,5,2
50,1,2,80,1,0,0,1,72,3,2,4,1
15,1,1,79,2,1,1,1,72,2,2,16,1
90,1,1,39,5,0,7,1,72,4,3,6,2
40,1,2,46,1,0,0,0,72,4,1,1,7
15,1,1,58,1,0,0,0,12,3,2,6,7
30,1,1,31,1,0,5,0,36,3,2,11,7
60,1,1,23,6,1,20,1,15,4,1,9,7
20,1,2,55,3,1,3,1,72,2,2,11,1
50,1,1,20,4,0,2,0,12,2,3,6,7
35,1,2,22,3,0,15,1,72,4,2,2,2
50,1,2,52,2,1,1,0,72,2,0,6,7
10,0,2,53,3,1,1,1,72,4,3,12,2
40,1,2,65,3,1,1,0,72,1,2,11,7
10,0,2,36,4,0,2,1,72,2,2,5,7
25,1,1,28,2,1,14,1,60,4,2,15,7
11,1,1,42,1,1,3,1,252,1,3,17,1
30,1,1,41,2,1,6,0,72,3,1,2,6
50,1,1,70,2,1,0,1,72,1,1,6,2
20,1,1,39,1,1,0,0,180,4,3,9,1
5,0,2,38,4,0,2,1,72,1,1,9,7
20,1,1,32,3,1,4,0,108,2,1,17,7
30,1,2,28,4,0,20,1,72,2,3,9,2
15,1,1,69,2,1,2,0,72,1,2,9,2
