code,country,pop_density,pmdeaths_total,pmdeaths_female,pmdeaths_male,mean_income,edu_level3,edu_level4
397,3,1,17529.538374999996,14526.998919999998,20532.077829999995,28015,0.0762048214673996,0.21507608890533447
424,3,2,23037.993814999994,18476.408859999996,27599.578769999993,27899,0.09936551004648209,0.24809005856513977
328,1,3,14806,11092,18520,39551,0.09603000432252884,0.37035003304481506
398,3,1,21760.028119999995,17434.060299999997,26085.995939999993,29725,0.09975486248731613,0.17915743589401245
88,1,1,11890.5,9563,14218,43344,0.1141061931848526,0.29020020365715027
106,1,1,13708.5,11417,16e3,29176,0.11346226185560226,0.29082515835762024
115,1,1,11067,8809,13325,33347,0.11562461405992508,0.2768465280532837
426,3,2,14226.770939999995,11775.722949999996,16677.818929999994,36768,0.09764575213193893,0.3480628430843353
144,1,1,12777,10130,15424,40553,0.12748487293720245,0.33869749307632446
282,1,1,12146.5,9891,14402,47215,0.11934918910264969,0.3347315788269043
192,1,1,17036,14177,19895,28241,0.10458507388830185,0.18063907325267792
399,3,1,16550.451835,13377.311390000003,19723.592279999997,32758,0.08613991737365723,0.2698393166065216
207,1,1,14018,9996,18040,32906,0.11814418435096741,0.24241118133068085
400,3,2,15666.562585,13605.757710000005,17727.367459999994,37460,0.09926658123731613,0.3523867130279541
37,1,1,14450.5,11897,17004,32127,0.12097738683223724,0.2586973011493683
237,1,1,15588.5,13961,17216,29713,0.1170973926782608,0.23378095030784607
120,1,2,16013.5,13037,18990,27821,0.12598711252212524,0.2442103773355484
145,1,2,12267.5,10807,13728,34860,0.13326501846313477,0.2791233956813812
96,1,1,13430,10053,16807,28738.998046875,0.12020193040370941,0.27421775460243225
401,3,NA,20000.159785000003,13970.330790000007,26029.98878,26268,0.09319307655096054,0.264148473739624
251,1,2,11997,8823,15171,68903,0.11067423969507217,0.4385223984718323
329,1,2,13990.5,11350,16631,35534,0.10540490597486496,0.287163108587265
131,1,1,14124,11178,17070,44161,0.11071892082691193,0.2533625662326813
252,1,2,12268.5,8993,15544,42734,0.12055457383394241,0.3597753942012787
102,1,2,16019,13456,18582,30031,0.12343933433294296,0.2068016678094864
107,1,2,14927,11009,18845,28550,0.1816970556974411,0.28557729721069336
402,3,2,19311.339945,15903.069690000004,22719.610199999996,29122,0.10457398742437363,0.2024480253458023
146,1,2,13105,11125,15085,37741,0.13459138572216034,0.29753780364990234
89,1,1,16015.5,13638,18393,27731,0.10385821014642715,0.14878571033477783
403,3,1,18829.335699999996,15504.933229999995,22153.738169999997,29976,0.11228685826063156,0.2379247397184372
433,4,1,16732.5,13586,19879,30246,0.12189371883869171,0.22437067329883575
245,1,1,14616.5,11528,17705,26661,0.10276477038860321,0.1915413737297058
139,1,1,13338.5,10521,16156,31666,0.11962264776229858,0.23967209458351135
174,1,1,15471.5,13016,17927,35037,0.12274730950593948,0.2977241575717926
319,1,2,18860,15927,21793,29069,0.1129884198307991,0.21497000753879547
222,1,2,14388,12467,16309,31453,0.12876397371292114,0.25326764583587646
427,3,2,27331.39733,21412.436929999996,33250.35773,29871,0.0898158848285675,0.2591244578361511
140,1,2,16793.5,13940,19647,27775,0.13156841695308685,0.22199095785617828
147,1,2,16685,12622,20748,30217,0.13377609848976135,0.21482786536216736
164,1,2,15669.5,11914,19425,32656,0.11056765913963318,0.1996442824602127
200,1,2,18575.5,15022,22129,27485,0.10555750876665115,0.14214776456356049
